Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Malicious_Flood,70655,40652,79,9504.358300404923,0.8465999271720648,909321.4502001647,2437.3572712476116,17.101516020456117,9.839513541342892,79,4700,8900,11000,17000,24000,38000,56000,758000,885000,909000
POST,Normal_Browse,64086,44449,43,6785.014203409053,3.9274999871850014,909081.636399962,1747.1996067783916,15.511538542027466,10.758549084894968,43,150,4500,7400,15000,20000,33000,44000,753000,882000,909000
POST,Warning_Sim,87033,60098,40,7146.44167319117,4.039699910208583,909291.2620001007,1786.7865292475267,21.065688823273046,14.54627287237098,40,140,4700,7800,15000,20000,33000,44000,755000,882000,909000
,Aggregated,221774,145199,50,7793.208915822466,0.8465999271720648,909321.4502001647,1982.6124974072704,53.67874338575663,35.14433549860884,50,800,5800,9200,16000,21000,35000,46000,756000,885000,909000
