Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Malicious_Flood,50850,97,3700,4731.840384702734,3.258500015363097,177486.45000020042,3177.21331366765,14.129197412326798,0.02695245130768337,3700,4900,5700,6200,7600,9100,11000,13000,171000,176000,177000
POST,Normal_Browse,33413,27,3800,5014.339121396851,4.4420999474823475,177863.88209997676,3204.924280968485,9.284146964367263,0.007502228714509804,3800,5100,5900,6400,8000,9600,12000,15000,171000,176000,178000
POST,Warning_Sim,45244,53,3700,4855.935874438905,4.978500073775649,179725.0314000994,3193.497657147909,12.571512442936355,0.014726597106259986,3700,4900,5800,6300,7800,9300,12000,14000,171000,178000,180000
,Aggregated,129507,177,3700,4848.0789403544,3.258500015363097,179725.0314000994,3190.051811871173,35.984856819630416,0.04918127712845316,3700,4900,5800,6300,7800,9300,12000,14000,171000,176000,180000
