Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783432558,600,,Aggregated,185.500000,147.700000,39,750,2300,3000,7700,14000,16000,17000,20000,21000,21000,3074,1889,39,2127.00654251747,2.0041000097990036,21237.779200077057,1691.0315549772283
1783432559,600,,Aggregated,176.000000,134.600000,39,940,2300,3100,8100,15000,17000,18000,21000,21000,21000,3199,1951,39,2298.690155266559,1.5916998963803053,21237.779200077057,1743.110659581119
1783432560,600,,Aggregated,165.300000,122.200000,40,1100,2400,3300,9000,15000,17000,18000,21000,22000,22000,3335,2013,40,2482.156691813389,1.5916998963803053,21861.799499951303,1797.1589205397302
1783432561,600,,Aggregated,157.900000,113.000000,40,1200,2600,3900,11000,16000,18000,19000,21000,22000,22000,3461,2067,40,2662.6731145903505,1.5916998963803053,21861.799499951303,1850.9737070210922
1783432562,600,,Aggregated,146.600000,99.200000,41,1300,2700,4300,12000,16000,18000,19000,22000,23000,23000,3583,2125,41,2766.3569494827434,1.5916998963803053,22997.451700037345,1885.2235556795981
1783432563,600,,Aggregated,146.800000,94.600000,41,1500,2900,4700,12000,16000,18000,19000,22000,24000,24000,3702,2179,41,2882.8659790104152,1.5916998963803053,24254.859500098974,1921.1853052404106
1783432564,600,,Aggregated,139.400000,84.000000,44,1700,3300,6900,13000,16000,18000,20000,23000,26000,26000,3868,2211,44,3120.1966153818325,1.5916998963803053,26211.5358998999,2022.7050155118925
1783432565,600,,Aggregated,134.000000,76.500000,47,1800,3600,7200,12000,16000,18000,20000,23000,26000,26000,3994,2264,47,3158.37829346454,1.5916998963803053,26211.5358998999,2037.9306459689535
1783432567,600,,Aggregated,130.000000,62.300000,46,1700,3400,7000,12000,16000,18000,19000,22000,26000,26000,4105,2354,46,3102.6373766378547,1.5916998963803053,26211.5358998999,2005.2129110840438
1783432568,600,,Aggregated,130.200000,59.800000,49,1700,3500,6900,12000,16000,18000,19000,22000,26000,26000,4262,2463,49,3066.020707812655,1.5916998963803053,26211.5358998999,1986.0380103237917
1783432569,600,,Aggregated,125.900000,59.900000,47,1600,3300,6300,12000,16000,18000,19000,22000,26000,26000,4428,2617,47,2973.965656638752,1.5916998963803053,26211.5358998999,1925.579945799458
1783432570,600,,Aggregated,128.200000,63.200000,54,1800,3700,7100,11000,16000,18000,19000,22000,26000,26000,4658,2712,54,3046.5832609481736,1.5916998963803053,26211.5358998999,1993.643409188493
1783432571,600,,Aggregated,130.600000,70.000000,54,1600,3600,6700,11000,16000,18000,19000,22000,26000,26000,4752,2806,54,2987.7893833328085,1.5916998963803053,26211.5358998999,1954.2068602693603
1783432572,600,,Aggregated,141.000000,74.500000,51,1500,3500,6300,11000,15000,18000,19000,22000,26000,26000,4845,2899,51,2930.8961430127697,1.5916998963803053,26211.5358998999,1916.6957688338493
1783432573,600,,Aggregated,137.500000,77.600000,50,1500,3300,6000,11000,15000,18000,19000,22000,26000,26000,4937,2991,50,2877.1405646334415,1.5916998963803053,26211.5358998999,1880.9785294713388
1783432574,600,,Aggregated,133.800000,80.400000,47,1300,3200,5800,11000,15000,18000,19000,22000,26000,26000,5028,3082,47,2825.3823226125496,1.5916998963803053,26211.5358998999,1846.9353619729516
1783432575,600,,Aggregated,130.700000,83.100000,44,1100,3100,5300,11000,15000,18000,19000,22000,26000,26000,5117,3171,44,2776.531215457323,1.5916998963803053,26211.5358998999,1814.811608364276
1783432576,600,,Aggregated,126.700000,87.600000,43,1000,3100,4700,10000,15000,18000,19000,22000,26000,26000,5218,3272,43,2723.0809593515028,1.5916998963803053,26211.5358998999,1779.6839785358375
1783432577,600,,Aggregated,124.000000,95.100000,41,760,3000,4500,10000,15000,18000,19000,22000,26000,26000,5317,3371,41,2672.638410474991,1.5916998963803053,26211.5358998999,1746.5471130336657
1783432578,600,,Aggregated,120.700000,99.100000,39,650,2900,4300,10000,15000,18000,19000,22000,26000,26000,5416,3470,39,2624.013867521551,1.5916998963803053,26211.5358998999,1714.6216765140325
1783432579,600,,Aggregated,119.500000,99.800000,38,590,2700,4200,9800,15000,18000,19000,22000,26000,26000,5503,3557,38,2582.7170477730892,1.5916998963803053,26211.5358998999,1687.5142649463928
1783432580,600,,Aggregated,114.300000,99.600000,37,510,2600,4000,9700,15000,18000,19000,22000,26000,26000,5591,3645,37,2542.246241816687,1.5916998963803053,26211.5358998999,1660.9534966911108
1783432581,600,,Aggregated,106.100000,92.600000,36,380,2500,3900,9700,15000,18000,19000,22000,26000,26000,5684,3738,36,2500.8668225189936,1.5916998963803053,26211.5358998999,1633.777445460943
1783432582,600,,Aggregated,92.100000,91.200000,35,370,2500,4000,9900,15000,18000,20000,22000,26000,26000,5800,3820,35,2577.791189016726,1.5916998963803053,26211.5358998999,1619.0175862068966
1783432583,600,,Aggregated,92.100000,92.100000,35,320,2500,3900,10000,15000,18000,21000,22000,26000,26000,5894,3893,35,2590.280143637147,1.5916998963803053,26211.5358998999,1604.0860196810315
1783432584,600,,Aggregated,94.500000,92.700000,34,250,2300,3800,9800,15000,18000,21000,22000,26000,26000,6009,3999,34,2547.1621355961947,1.5916998963803053,26211.5358998999,1577.965218838409
1783432585,600,,Aggregated,96.400000,91.100000,33,230,2300,3700,9800,15000,18000,21000,23000,26000,26000,6090,4077,33,2521.771328423053,1.5916998963803053,26211.5358998999,1558.482922824302
1783432586,600,,Aggregated,97.700000,91.500000,32,190,2200,3600,9700,15000,18000,21000,24000,26000,26000,6205,4187,32,2488.4696556317135,1.5916998963803053,26211.5358998999,1532.061563255439
1783432587,600,,Aggregated,96.100000,89.500000,32,180,2200,3600,9700,15000,19000,21000,24000,26000,26000,6285,4257,32,2484.6238343507443,1.5916998963803053,26211.5358998999,1517.4232299124901
1783432588,600,,Aggregated,98.200000,91.000000,32,180,2300,3700,10000,16000,19000,21000,24000,27000,27000,6390,4322,32,2552.6811828629475,1.5916998963803053,26568.531199824065,1518.1284820031299
1783432589,600,,Aggregated,96.400000,89.100000,31,160,2100,3600,9900,16000,19000,21000,25000,28000,28000,6557,4455,31,2533.7051983370347,1.5916998963803053,27973.892400041223,1500.9481470184535
