Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Malicious_Flood,86279,71,650,707.2502888269792,4.209599923342466,109447.29829998687,3053.61437893346,23.973911866958545,0.01972841296901977,650,760,850,910,1100,1200,1400,1500,1900,109000,109000
POST,Normal_Browse,21892,9,680,707.5062940344101,13.121099909767509,108928.69059997611,3054.8081947743467,6.083019953771561,0.002500784742551802,680,820,910,970,1200,1300,1500,1600,2100,2500,109000
POST,Warning_Sim,53629,30,660,706.4057671367277,6.72499998472631,109510.50049997866,3055.3777433851087,14.901620550923399,0.00833594914183934,660,780,870,940,1100,1300,1500,1600,2000,109000,110000
,Aggregated,161800,110,650,707.0050083095103,4.209599923342466,109510.50049997866,3054.3603770086524,44.958552371653504,0.030565146853410913,650,780,870,930,1100,1300,1400,1600,2000,109000,110000
